event-id,visible,timestamp,location-long,location-lat,argos:calcul-freq,argos:iq,argos:lc,argos:location-algorithm,argos:nb-mes,argos:sat-id,sensor-type,individual-taxon-canonical-name,tag-local-identifier,individual-local-identifier,study-name
24174715697,TRUE,45:10.0,169.011,-64.172,4.02E+08,8,B,least squares,1,K,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715698,TRUE,08:52.0,,,,,,least squares,2,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715699,TRUE,33:36.0,,,,,,least squares,1,N,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715700,TRUE,26:05.0,,,,,,least squares,3,K,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715701,TRUE,47:02.0,169.074,-64.187,4.02E+08,,A,least squares,3,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715702,TRUE,51:51.0,,,,,,least squares,1,L,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715703,TRUE,00:13.0,,,,,,least squares,1,P,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715704,TRUE,01:42.0,169.142,-64.191,4.02E+08,8,B,least squares,2,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715705,TRUE,24:04.0,169.116,-64.217,4.02E+08,,B,least squares,1,P,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715706,TRUE,36:15.0,169.103,-64.242,4.02E+08,,B,least squares,1,N,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715707,TRUE,46:21.0,169.112,-64.263,4.02E+08,,B,least squares,1,A,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715708,TRUE,14:40.0,169.112,-64.293,4.02E+08,,B,least squares,1,K,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715709,TRUE,40:13.0,169.132,-64.296,4.02E+08,,A,least squares,3,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715710,TRUE,55:46.0,169.142,-64.27,4.02E+08,8,B,least squares,1,L,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715711,TRUE,08:55.0,169.18,-64.307,4.02E+08,,B,least squares,1,P,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715712,TRUE,09:42.0,169.176,-64.345,4.02E+08,,B,least squares,2,N,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715713,TRUE,22:49.0,169.181,-64.308,4.02E+08,,B,least squares,1,A,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715714,TRUE,16:30.0,169.689,-64.546,4.02E+08,8,A,least squares,3,K,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715715,TRUE,36:26.0,169.753,-64.592,4.02E+08,40,1,least squares,6,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715716,TRUE,50:08.0,169.86,-64.582,4.02E+08,50,1,least squares,5,L,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715717,TRUE,20:57.0,170.038,-64.611,4.02E+08,48,1,least squares,5,A,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715718,TRUE,57:18.0,170.122,-64.63,4.02E+08,8,B,least squares,1,K,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715719,TRUE,17:36.0,170.28,-64.633,4.02E+08,48,1,least squares,5,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715720,TRUE,28:46.0,170.312,-64.638,4.02E+08,,B,least squares,1,L,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715721,TRUE,23:31.0,171.03,-64.809,4.02E+08,7,B,least squares,1,A,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715722,TRUE,31:17.0,171.017,-64.867,4.02E+08,,B,least squares,1,P,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715723,TRUE,13:17.0,172.007,-65.06,4.02E+08,8,B,least squares,2,K,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715724,TRUE,19:09.0,171.04,-65.003,4.02E+08,58,A,least squares,3,P,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715725,TRUE,19:09.0,171.04,-65.003,4.02E+08,58,B,least squares,1,N,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715726,TRUE,01:01.0,171.051,-65.011,4.02E+08,7,B,least squares,2,K,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715727,TRUE,23:45.0,171.076,-65.006,4.02E+08,,B,least squares,2,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715728,TRUE,36:12.0,171.045,-65.022,4.02E+08,8,B,least squares,2,L,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715729,TRUE,56:57.0,171.123,-65.033,4.02E+08,,B,least squares,2,P,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715730,TRUE,56:57.0,171.171,-65.027,4.02E+08,,B,least squares,2,N,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715731,TRUE,24:19.0,171.171,-65.088,4.02E+08,8,B,least squares,1,A,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715732,TRUE,24:19.0,171.162,-65.093,4.02E+08,8,B,least squares,1,N,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715733,TRUE,59:57.0,171.536,-65.105,4.02E+08,6,B,least squares,2,K,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715734,TRUE,19:55.0,171.232,-65.045,4.02E+08,8,B,least squares,1,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715735,TRUE,37:29.0,171.677,-65.312,4.02E+08,,A,least squares,3,L,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715736,TRUE,55:12.0,171.678,-65.311,4.02E+08,,B,least squares,1,P,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715737,TRUE,01:43.0,171.753,-65.341,4.02E+08,,A,least squares,3,A,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715738,TRUE,02:31.0,171.705,-65.32,4.02E+08,40,1,least squares,4,N,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715739,TRUE,33:00.0,171.718,-65.32,4.02E+08,8,B,least squares,1,K,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715740,TRUE,54:42.0,171.7,-65.322,4.02E+08,,B,least squares,2,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715741,TRUE,03:43.0,171.765,-65.335,4.02E+08,8,B,least squares,1,A,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715742,TRUE,52:44.0,171.779,-65.336,4.02E+08,7,B,least squares,1,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715743,TRUE,20:25.0,171.591,-65.487,4.02E+08,,B,least squares,1,L,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715744,TRUE,47:32.0,171.785,-65.351,4.02E+08,8,B,least squares,1,A,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715745,TRUE,03:53.0,172.22,-65.603,4.02E+08,6,B,least squares,1,A,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715746,TRUE,20:13.0,172.672,-65.913,4.02E+08,8,B,least squares,1,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715747,TRUE,03:25.0,172.313,-65.891,4.02E+08,8,B,least squares,2,P,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715748,TRUE,03:48.0,172.487,-65.915,4.02E+08,,B,least squares,2,N,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715749,TRUE,33:54.0,172.825,-65.87,4.02E+08,48,0,least squares,4,K,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715750,TRUE,01:29.0,172.487,-66.011,4.02E+08,40,0,least squares,4,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715751,TRUE,27:48.0,172.483,-66.019,4.02E+08,,B,least squares,1,L,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715752,TRUE,42:42.0,172.538,-66.007,4.02E+08,,B,least squares,2,A,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715753,TRUE,45:31.0,172.457,-66.036,4.02E+08,,B,least squares,2,P,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715754,TRUE,45:31.0,172.544,-66.014,4.02E+08,,B,least squares,1,N,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715755,TRUE,33:06.0,172.592,-66.052,4.02E+08,8,B,least squares,1,K,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715756,TRUE,02:23.0,172.457,-66.038,4.02E+08,8,B,least squares,1,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715757,TRUE,27:23.0,172.996,-66.062,4.02E+08,40,0,least squares,4,L,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715758,TRUE,42:23.0,173.073,-66.085,4.02E+08,,B,least squares,2,P,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715759,TRUE,42:23.0,173.077,-66.083,4.02E+08,,B,least squares,2,N,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715760,TRUE,42:23.0,173.062,-66.095,4.02E+08,,B,least squares,2,A,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715761,TRUE,46:22.0,173.116,-66.09,4.02E+08,8,B,least squares,1,A,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715762,TRUE,07:30.0,173.109,-66.23,4.02E+08,,B,least squares,2,K,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
24174715763,TRUE,30:34.0,173.366,-66.136,4.02E+08,6,A,least squares,3,M,argos-doppler-shift,Balaenoptera musculus,121205,121205,"Antarctic blue whales, east Antarctic sector of the Southern Ocean"
